xid,name,dist,rate,osm,wikidata,kinds,point,query_area
N7215645385,The Blue Mosque,18.13616229,7,node/7215645385,Q80541,"religion,mosques,interesting_places","{'lon': 28.976892471313477, 'lat': 41.005252838134766}",Sultanahmet Core
R1564032,Süleymaniye Mosque,18.64409212,7,relation/1564032,Q178643,"religion,mosques,interesting_places","{'lon': 28.963977813720703, 'lat': 41.016300201416016}",Suleymaniye
Q5773394,Historic Areas of Istanbul,52.2563896,7,,Q5773394,"interesting_places,natural,nature_reserves,other_nature_conservation_areas","{'lon': 28.979930877685547, 'lat': 41.00846862792969}",Hagia Sophia / Basilica Cistern
R1555271,Hagia Sophia Grand Mosque,57.237152,7,relation/1555271,Q12506,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,catholic_churches","{'lon': 28.980009078979492, 'lat': 41.008506774902344}",Hagia Sophia / Basilica Cistern
W109862851,The Hagia Sophia Grand Mosque,57.237152,7,way/109862851,Q12506,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,catholic_churches","{'lon': 28.980009078979492, 'lat': 41.008506774902344}",Hagia Sophia / Basilica Cistern
Q2656937,Runic inscriptions in Hagia Sophia,102.82225627,7,,Q2656937,"other,unclassified_objects,interesting_places,historic_object","{'lon': 28.97909927368164, 'lat': 41.00870132446289}",Hagia Sophia / Basilica Cistern
N415157636,Serpent Column,145.71910027,7,node/415157636,Q588892,"historic,monuments_and_memorials,burial_places,urban_environment,cultural,interesting_places,other_burial_places,sculptures,monuments","{'lon': 28.9751033782959, 'lat': 41.00566101074219}",Sultanahmet Core
W103953125,Tomb of Sultan Ahmet,155.64108709,7,way/103953125,Q80541,"religion,mosques,interesting_places","{'lon': 28.97703742980957, 'lat': 41.00679016113281}",Sultanahmet Core
W326372295,Yıldız Palace,700.92397167,7,way/326372295,Q911734,"palaces,architecture,historic_architecture,cultural,museums,interesting_places,other_museums","{'lon': 29.01161766052246, 'lat': 41.05007553100586}",Yildiz Palace
N4477143891,Yıldız Palace,770.38013658,7,node/4477143891,Q911734,"palaces,architecture,historic_architecture,interesting_places","{'lon': 29.011703491210938, 'lat': 41.05071258544922}",Yildiz Palace
N7294561685,Chora Mosque,905.67963045,7,node/7294561685,Q849489,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,other_churches","{'lon': 28.939090728759766, 'lat': 41.031097412109375}",Balat / Fener
W32395058,Kariye Museum,912.68333948,7,way/32395058,Q849489,"religion,mosques,churches,cultural,museums,interesting_places,other_museums,other_churches","{'lon': 28.939029693603516, 'lat': 41.03120040893555}",Balat / Fener
R7318154,Rumeli Fortress,8.97832631,3,relation/7318154,Q90801,"fortifications,historic,cultural,museums,interesting_places,castles,history_museums","{'lon': 29.056764602661133, 'lat': 41.08497619628906}",Rumeli Hisari
W102190099,Osman ağa Mosque,16.34999761,3,way/102190099,Q6029146,"religion,mosques,interesting_places","{'lon': 29.026123046875, 'lat': 40.990840911865234}",Kadikoy Historic Center
W23236783,Galata Tower,17.0324314,3,way/23236783,Q91274,"architecture,towers,interesting_places,observation_towers","{'lon': 28.974212646484375, 'lat': 41.02564239501953}",Galata Tower
N6919989286,Ortaköy Mosque,32.9746791,3,node/6919989286,Q176380,"religion,mosques,interesting_places","{'lon': 29.02560806274414, 'lat': 41.04729080200195}",Ortakoy
Q105840441,Mısırlı Osman Ağa Fountain,41.4796303,3,,Q105840441,"fountains,historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments","{'lon': 29.026735305786133, 'lat': 40.99107360839844}",Kadikoy Historic Center
