poi_id,display_name_en,category_clean,query_area,wiki_title,wiki_pageviews_total,has_direct_wiki_signal,has_valid_wiki_identity_but_missing_pageviews,target_proxy,category_clean,query_area,lat,lon,rate,dist_from_query_center_m,candidate_count_same_key,is_mosque,is_church,is_synagogue,is_cathedral,is_palace,is_museum,is_monument,is_cemetery,is_fortress,is_tower,is_hamam,is_bridge,is_tekke_or_dergah,is_tomb,is_fountain,is_gate,subtype_flag_count,has_possible_duplicate,possible_duplicate_count,has_valid_wiki_identity_but_missing_pageviews
otm_N7294561685,Chora Mosque / Kariye Museum,museum,Balat / Fener,Chora Church,20025.0,1,0,9.904786708267748,museum,Balat / Fener,41.031097412109375,28.93909072875977,7,905.67963045,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
otm_R1555271,Hagia Sophia,museum,Hagia Sophia / Basilica Cistern,Hagia Sophia,1300243.0,1,0,14.07806249712746,museum,Hagia Sophia / Basilica Cistern,41.008506774902344,28.980009078979492,7,57.237152,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
otm_N415157636,Serpent Column,historic,Sultanahmet Core,Serpent Column,38432.0,1,0,10.556671744524543,historic,Sultanahmet Core,41.00566101074219,28.9751033782959,7,145.71910027,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0
otm_R1564032,Süleymaniye Mosque,religious,Suleymaniye,Süleymaniye Mosque,138681.0,1,0,11.839938821385191,religious,Suleymaniye,41.016300201416016,28.963977813720703,7,18.64409212,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otm_N7215645385,The Blue Mosque,religious,Sultanahmet Core,Sultan Ahmed Mosque,50304.0,1,0,10.825859754726151,religious,Sultanahmet Core,41.005252838134766,28.976892471313477,7,18.13616229,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otm_W103953125,Tomb of Sultan Ahmet,religious,Sultanahmet Core,Sultan Ahmed Mosque,50304.0,1,0,10.825859754726151,religious,Sultanahmet Core,41.00679016113281,28.97703742980957,7,155.64108709,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
otm_W326372295,Yıldız Palace,museum,Yildiz Palace,Yıldız Palace,39930.0,1,0,10.594908243570373,museum,Yildiz Palace,41.05007553100586,29.01161766052246,7,700.92397167,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
otm_N3580821812,Adam Mickiewicz Museum,museum,Istiklal / Pera,Adam Mickiewicz Museum,68.0,1,0,4.23410650459726,museum,Istiklal / Pera,41.038780212402344,28.977148056030273,3,545.861319,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otm_W109980654,Ahi Çelebi Mosque,religious,Eminonu / Spice Bazaar,Ahi Çelebi,839.0,1,0,6.733401891837359,religious,Eminonu / Spice Bazaar,41.01894760131836,28.968408584594727,3,310.86133448,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otm_Q15961666,Ahmet Hamdi Tanpınar Literature Museum Library,museum,Hagia Sophia / Basilica Cistern,Ahmet Hamdi Tanpınar Literature Museum Library,1073.0,1,0,6.97914527506881,museum,Hagia Sophia / Basilica Cistern,41.01097869873047,28.978269577026367,3,358.22360813,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otm_W733808427,Ahmet Çelebi Mosque,religious,Uskudar Waterfront,,0.0,0,0,,religious,Uskudar Waterfront,41.021724700927734,29.013490676879883,3,474.94358115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otm_W235271665,All Saints Moda English Church,religious,Kadikoy Historic Center,,0.0,0,0,,religious,Kadikoy Historic Center,40.982086181640625,29.025239944458008,3,982.95499876,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
otm_N415068999,Anadoluhisarı,museum,Rumeli Hisari,Anadoluhisarı,11771.0,1,0,9.373479109353363,museum,Rumeli Hisari,41.083274841308594,29.06653213500977,3,837.4887906,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0
otm_N2500907259,Arap Mosque,religious,Galata Tower,Arap Mosque,8660.0,1,0,9.066585468331045,religious,Galata Tower,41.02434158325195,28.971057891845703,3,319.04585132,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
